,ID,Zip.1,LifeOrientation.10,CFC.Future.5,CFC.Immediate.5,b5_conscientious,b5_negemotion,b5_agreeable,b5_extroversion,SoPA.9,SoNA.9,Age.1,Education.1,Wealth.6,Dospert,ContactsMask.6,TimeRiskyFriend.3,Vaccine.6,WillingnessNeigh.6,WillingnessCountry.6,Fundamental1.2.6,Fundamental_af,ConcernCovid.6,Finished.10,PoliticalOrientation.1,Optimistic1.2,Optimistic2.2,Optimistic3.2,Optimistic4.2,Optimistic5.2,Optimistic1.6,Optimistic2.6,Optimistic3.6,Optimistic4.6,Optimistic5.6,Optimistic6.6,Optimistic7.6,Optimistic8.6,Sex.1,Optimistic9.6,PositiveRightNow2.9,PositiveWorld1.9,PositiveWorld2.9,PositiveWorld3.9,PositiveWorld4.9,PositiveWorld5.9,PositiveWorld6.9,PositiveWorld8.9,PositiveWorld9.9,PositiveRightNow1.9,PositiveLife1.9,PositiveLife2.9,PositiveLife3.9,PositiveLife4.9,PositiveLife5.9,PositiveLife6.9,LifeExpectancy.9,Age.1
62,62,36862.0,,42.0,18.0,1.25,2.25,2.0,1.0,,,31.0,2.0,4.666666667,6.0,5.0,1.0,1.0,5.0,3.0,5.0,6.0,4.0,,2.0,,,,,,72.0,72.0,73.0,73.0,73.0,68.0,63.0,22.0,2.0,1.0,,,,,,,,,,,,,,,,,,31.0
63,63,46237.0,13,,,,,,,3.666666667,2.285714286,63.0,7.0,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,1.0,,75.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,86.0,63.0
64,64,94086.0,10.5,36.0,28.0,3.25,2.75,4.0,2.0,5.0,3.0,50.0,5.0,7.666666667,14.0,3.0,4.0,7.0,2.0,2.0,6.0,11.0,4.0,1.0,3.5,4.0,4.0,4.0,6.0,6.0,50.0,50.0,56.0,79.0,88.0,94.0,69.0,55.0,1.0,36.0,64.0,43.0,50.0,58.0,58.0,61.0,57.0,44.0,20.0,79.0,70.0,75.0,66.0,61.0,60.0,56.0,82.0,50.0
65,65,25813.0,9.5,39.0,18.0,5.0,3.5,5.0,2.75,5.0,2.428571429,63.0,2.0,3.333333333,8.0,5.0,1.0,1.0,6.0,5.0,7.0,10.0,7.0,1.0,6.0,5.0,6.0,7.0,4.0,3.0,19.0,21.0,12.0,31.0,47.0,52.0,35.0,13.0,2.0,4.0,27.0,22.0,24.0,16.0,9.0,3.0,1.0,1.0,1.0,30.0,36.0,39.0,31.0,10.0,0.0,0.0,78.0,63.0
66,66,40517.0,11.5,27.0,31.0,3.75,3.0,3.5,2.75,4.0,2.571428571,42.0,7.0,,21.0,3.0,2.0,5.0,4.0,6.0,3.0,7.0,2.0,1.0,3.5,7.0,6.0,5.0,4.0,4.0,22.0,36.0,39.0,43.0,51.0,33.0,22.0,10.0,1.0,3.0,58.0,40.0,35.0,33.0,29.0,73.0,83.0,86.0,89.0,66.0,54.0,59.0,66.0,61.0,12.0,0.0,76.0,42.0
67,67,93705.0,13,47.0,33.0,5.0,2.0,5.0,3.5,7.0,1.0,45.0,4.0,3.0,8.0,5.0,1.0,1.0,7.0,4.0,7.0,8.0,7.0,1.0,7.0,3.0,3.0,2.0,2.0,1.0,19.0,18.0,18.0,10.0,50.0,49.0,100.0,100.0,2.0,100.0,72.0,100.0,100.0,99.0,100.0,99.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,99.0,51.0,51.0,90.0,45.0
68,68,606.0,4.5,28.0,37.0,2.5,3.0,2.25,1.0,3.166666667,2.285714286,31.0,2.0,2.333333333,17.0,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,7.0,50.0,50.0,50.0,50.0,41.0,22.0,0.0,0.0,1.0,0.0,5.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,20.0,15.0,3.0,0.0,0.0,0.0,40.0,31.0
69,69,28792.0,12.5,41.0,29.0,4.0,1.0,4.0,1.25,5.666666667,2.571428571,63.0,2.0,2.666666667,,5.0,,1.0,2.0,1.0,6.0,9.0,5.0,1.0,5.0,5.0,5.0,6.0,3.0,2.0,9.0,11.0,22.0,70.0,95.0,93.0,93.0,93.0,2.0,95.0,58.0,54.0,45.0,67.0,67.0,56.0,48.0,47.0,46.0,89.0,81.0,91.0,91.0,68.0,3.0,2.0,85.0,63.0
70,70,95319.0,8,38.0,23.0,4.25,2.25,4.0,2.0,4.0,2.0,59.0,3.0,1.0,9.0,5.0,2.0,5.0,2.0,2.0,7.0,6.0,5.0,1.0,4.5,5.0,5.0,5.0,3.0,3.0,51.0,51.0,47.0,39.0,32.0,19.0,10.0,1.0,2.0,0.0,15.0,19.0,19.0,14.0,11.0,4.0,0.0,0.0,75.0,46.0,45.0,50.0,39.0,20.0,2.0,0.0,88.0,59.0
71,71,36088.0,,,,,,,,,,21.0,3.0,,12.0,,4.0,,,,,,,,3.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,21.0
72,72,37312.0,12.5,39.0,15.0,3.25,3.5,4.5,1.25,5.333333333,1.0,61.0,4.0,4.666666667,13.0,5.0,1.0,6.0,3.0,2.0,7.0,9.0,5.0,1.0,3.0,4.0,1.0,1.0,5.0,5.0,20.0,20.0,30.0,60.0,85.0,92.0,95.0,35.0,2.0,75.0,60.0,60.0,72.0,70.0,70.0,80.0,80.0,80.0,90.0,60.0,70.0,69.0,53.0,6.0,0.0,0.0,72.0,61.0
73,73,20751.0,7,31.0,26.0,2.75,4.25,1.5,1.0,,1.285714286,29.0,5.0,4.0,9.0,5.0,1.0,7.0,6.0,3.0,6.0,8.0,3.0,1.0,4.5,,,,,,6.0,11.0,17.0,26.0,33.0,41.0,48.0,58.0,1.0,70.0,28.0,47.0,43.0,38.0,31.0,39.0,51.0,58.0,73.0,45.0,51.0,54.0,60.0,65.0,72.0,0.0,90.0,29.0
74,74,90601.0,,35.0,26.0,2.5,1.75,3.5,4.0,4.0,4.0,54.0,5.0,2.333333333,19.0,5.0,1.0,7.0,3.0,3.0,6.0,8.0,2.0,,3.0,4.0,5.0,6.0,2.0,1.0,20.0,26.0,31.0,45.0,51.0,59.0,59.0,59.0,1.0,60.0,37.0,50.0,56.0,59.0,68.0,82.0,92.0,100.0,100.0,82.0,57.0,71.0,77.0,71.0,5.0,0.0,90.0,54.0
75,75,47421.0,,43.0,27.0,3.5,4.0,4.75,3.75,,,26.0,3.0,3.0,,5.0,,7.0,1.0,1.0,7.0,8.0,3.0,,1.0,4.0,6.0,6.0,6.0,4.0,50.0,50.0,31.0,30.0,30.0,20.0,20.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,26.0
76,76,5403.0,13.5,26.0,27.0,3.75,2.0,4.5,2.5,3.666666667,1.857142857,71.0,5.0,6.0,6.0,5.0,1.0,7.0,1.0,1.0,7.0,6.0,5.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,72.0,73.0,73.0,82.0,94.0,74.0,76.0,75.0,1.0,74.0,51.0,51.0,51.0,40.0,41.0,51.0,51.0,51.0,51.0,81.0,81.0,81.0,71.0,51.0,51.0,51.0,85.0,71.0
77,77,2152.0,,,,,,,,,,49.0,2.0,,12.0,,7.0,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,49.0
78,78,16105.0,,,,4.75,1.5,5.0,3.25,4.833333333,1.428571429,60.0,3.0,4.666666667,,5.0,,7.0,6.0,5.0,7.0,7.0,5.0,,2.0,,,,,,29.0,29.0,37.0,80.0,89.0,96.0,80.0,50.0,1.0,30.0,70.0,70.0,70.0,80.0,85.0,85.0,85.0,85.0,85.0,80.0,70.0,80.0,90.0,90.0,5.0,0.0,94.0,60.0
79,79,80640.0,10.5,35.0,22.0,,,,,4.833333333,1.857142857,65.0,6.0,,13.0,,1.0,,,,,,,1.0,2.5,5.0,4.0,4.0,3.0,2.0,,,,,,,,,1.0,,40.0,45.0,45.0,55.0,55.0,60.0,60.0,65.0,70.0,50.0,55.0,65.0,55.0,40.0,0.0,0.0,90.0,65.0
80,80,46614.0,9.5,41.0,28.0,4.0,3.25,3.25,2.0,6.5,2.142857143,42.0,6.0,6.0,6.0,5.0,1.0,7.0,1.0,1.0,7.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,40.0,40.0,40.0,60.0,83.0,92.0,92.0,92.0,2.0,92.0,60.0,61.0,66.0,74.0,80.0,84.0,86.0,89.0,80.0,75.0,83.0,89.0,79.0,61.0,0.0,0.0,75.0,42.0
81,81,94510.0,11.5,42.0,23.0,4.5,2.0,4.75,3.25,,,60.0,5.0,4.0,6.0,5.0,1.0,7.0,1.0,1.0,7.0,14.0,6.0,1.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,6.0,30.0,55.0,58.0,54.0,46.0,2.0,37.0,,,,,,,,,,,,,,,,,,60.0
82,82,40502.0,12,35.0,14.0,3.5,2.0,4.0,2.5,3.0,,60.0,4.0,3.666666667,7.0,4.0,2.0,7.0,5.0,5.0,6.0,9.0,7.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,92.0,94.0,95.0,92.0,92.0,92.0,92.0,81.0,2.0,73.0,65.0,60.0,59.0,61.0,61.0,64.0,64.0,62.0,62.0,65.0,63.0,62.0,63.0,60.0,58.0,59.0,90.0,60.0
83,83,77047.0,5,41.0,15.0,3.75,1.5,4.0,1.75,,,49.0,5.0,,13.0,5.0,2.0,7.0,2.0,2.0,7.0,3.0,6.0,1.0,2.0,6.0,6.0,6.0,3.0,1.0,20.0,24.0,29.0,50.0,72.0,80.0,76.0,22.0,1.0,10.0,,,,,,,,,,,,,,,,,,49.0
84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85,27262.0,13.5,,,4.75,2.0,4.0,1.5,6.0,1.0,26.0,5.0,2.0,6.0,5.0,4.0,1.0,5.0,4.0,7.0,14.0,1.0,1.0,4.0,7.0,7.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,40.0,80.0,100.0,100.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,26.0
86,86,92518.0,,,,,,,,,,59.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,59.0
87,87,42635.0,10,32.0,22.0,4.25,1.0,5.0,3.0,4.5,2.571428571,41.0,5.0,5.0,,5.0,,7.0,5.0,6.0,7.0,9.0,7.0,1.0,1.0,,,,,,50.0,50.0,50.0,50.0,50.0,45.0,29.0,0.0,2.0,0.0,5.0,50.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0,95.0,90.0,90.0,60.0,55.0,0.0,0.0,70.0,41.0
88,88,2116.0,12,38.0,27.0,5.0,1.5,4.5,4.5,5.166666667,1.0,58.0,7.0,7.333333333,9.0,5.0,2.0,6.0,1.0,1.0,7.0,10.0,4.0,1.0,4.0,7.0,6.0,5.0,3.0,1.0,2.0,8.0,17.0,53.0,66.0,84.0,91.0,0.0,1.0,0.0,39.0,53.0,57.0,66.0,75.0,84.0,88.0,96.0,98.0,70.0,63.0,70.0,82.0,88.0,11.0,1.0,84.0,58.0
89,89,48001.0,6.5,38.0,21.0,3.25,2.25,4.0,3.0,5.833333333,1.571428571,56.0,3.0,1.333333333,8.0,5.0,2.0,5.0,3.0,3.0,6.0,9.0,6.0,1.0,3.0,2.0,2.0,3.0,4.0,7.0,71.0,71.0,71.0,71.0,77.0,69.0,71.0,36.0,1.0,23.0,40.0,60.0,60.0,50.0,50.0,50.0,39.0,29.0,9.0,28.0,60.0,65.0,42.0,0.0,0.0,0.0,65.0,56.0
90,90,98275.0,10,36.0,23.0,1.75,2.0,3.25,2.0,,,50.0,4.0,5.666666667,13.0,5.0,2.0,7.0,2.0,2.0,6.0,7.0,4.0,1.0,3.0,,,,,,40.0,45.0,51.0,69.0,75.0,73.0,68.0,50.0,1.0,31.0,,,,,,,,,,,,,,,,,,50.0
91,91,75231.0,9.5,32.0,23.0,4.0,4.0,4.0,1.75,4.833333333,2.428571429,49.0,3.0,,13.0,5.0,1.0,3.0,1.0,1.0,5.0,7.0,4.0,1.0,1.0,6.0,6.0,5.0,4.0,4.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,2.0,50.0,45.0,44.0,37.0,46.0,47.0,49.0,50.0,50.0,50.0,41.0,50.0,50.0,50.0,50.0,20.0,50.0,62.0,49.0
92,92,20852.0,10.5,38.0,35.0,3.5,2.25,4.0,2.25,4.5,1.142857143,51.0,3.0,1.0,9.0,5.0,1.0,7.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,4.0,5.0,6.0,3.0,3.0,78.0,78.0,82.0,85.0,86.0,85.0,79.0,70.0,1.0,50.0,65.0,75.0,77.0,79.0,75.0,68.0,66.0,68.0,50.0,70.0,75.0,73.0,68.0,65.0,0.0,0.0,85.0,51.0
93,93,59027.0,11.5,40.0,26.0,4.0,1.5,3.75,2.0,5.5,2.0,63.0,6.0,1.333333333,11.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,2.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,60.0,65.0,70.0,75.0,75.0,75.0,75.0,80.0,1.0,90.0,70.0,60.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,70.0,70.0,70.0,70.0,50.0,20.0,0.0,90.0,63.0
94,94,45014.0,12.5,38.0,17.0,2.75,1.75,3.5,3.75,3.666666667,3.142857143,66.0,6.0,,7.0,5.0,2.0,7.0,1.0,1.0,7.0,10.0,2.0,1.0,5.5,4.0,4.0,4.0,5.0,6.0,51.0,56.0,58.0,68.0,85.0,93.0,100.0,100.0,1.0,100.0,68.0,51.0,55.0,63.0,62.0,59.0,62.0,39.0,32.0,81.0,61.0,75.0,69.0,51.0,10.0,0.0,85.0,66.0
95,95,28759.0,,,,,,,,,,74.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,74.0
96,96,53215.0,15,48.0,16.0,4.0,1.0,5.0,2.75,7.0,1.0,37.0,3.0,2.0,15.0,4.0,3.0,7.0,2.0,2.0,7.0,12.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,100.0,84.0,86.0,90.0,92.0,92.0,92.0,92.0,92.0,92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.0,37.0
97,97,91016.0,12,35.0,18.0,4.0,1.75,4.0,3.5,5.5,2.0,56.0,2.0,2.666666667,7.0,2.0,6.0,1.0,4.0,4.0,5.0,10.0,2.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,49.0,49.0,49.0,57.0,66.0,66.0,68.0,62.0,2.0,62.0,56.0,66.0,64.0,72.0,72.0,65.0,69.0,71.0,65.0,69.0,70.0,71.0,76.0,76.0,58.0,57.0,80.0,56.0
98,98,32712.0,,46.0,13.0,1.0,4.0,5.0,2.25,,,41.0,2.0,2.0,12.0,5.0,1.0,7.0,5.0,3.0,7.0,14.0,5.0,,4.0,7.0,7.0,7.0,4.0,1.0,20.0,40.0,90.0,80.0,80.0,50.0,45.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,41.0
99,99,34653.0,14,36.0,25.0,,,,,6.0,1.571428571,66.0,4.0,,23.0,,2.0,,,,,,,1.0,5.5,3.0,3.0,3.0,2.0,1.0,,,,,,,,,1.0,,29.0,62.0,55.0,77.0,80.0,79.0,82.0,90.0,99.0,70.0,63.0,74.0,76.0,51.0,51.0,51.0,85.0,66.0
100,100,85713.0,10,43.0,22.0,,,,,5.0,3.0,33.0,6.0,,9.0,,1.0,,,,,,,1.0,2.0,5.0,4.0,4.0,2.0,1.0,,,,,,,,,1.0,,62.0,61.0,64.0,66.0,66.0,34.0,38.0,42.0,80.0,69.0,60.0,62.0,56.0,57.0,41.0,28.0,65.0,33.0
101,101,97423.0,9.5,29.0,27.0,4.25,1.5,2.5,3.75,3.833333333,,63.0,5.0,,21.0,3.0,4.0,4.0,4.0,4.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,99.0,99.0,100.0,100.0,99.0,100.0,4.0,1.0,3.0,81.0,80.0,82.0,85.0,89.0,92.0,2.0,0.0,0.0,100.0,82.0,84.0,83.0,84.0,85.0,10.0,120.0,63.0
102,102,92880.0,15,31.0,30.0,4.75,1.0,4.25,3.5,6.333333333,1.142857143,64.0,5.0,8.333333333,9.0,5.0,4.0,7.0,2.0,2.0,6.0,11.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,100.0,90.0,95.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,51.0,51.0,85.0,64.0
103,103,46123.0,,,,,,,,5.166666667,2.0,49.0,5.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,54.0,51.0,75.0,78.0,84.0,90.0,92.0,96.0,100.0,81.0,81.0,87.0,92.0,96.0,0.0,0.0,89.0,49.0
104,104,91605.0,9.5,19.0,29.0,,,,,,,26.0,5.0,,15.0,,2.0,,,,,,,1.0,2.0,4.0,6.0,6.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,26.0
105,105,802031.0,12,39.0,23.0,5.0,2.25,3.0,1.75,5.666666667,2.142857143,39.0,5.0,3.0,8.0,5.0,1.0,7.0,6.0,6.0,7.0,9.0,4.0,1.0,2.0,6.0,5.0,2.0,,1.0,12.0,13.0,20.0,23.0,100.0,100.0,96.0,28.0,2.0,3.0,72.0,4.0,12.0,23.0,66.0,73.0,81.0,86.0,2.0,81.0,80.0,86.0,97.0,100.0,8.0,0.0,85.0,39.0
106,106,93560.0,,38.0,27.0,,,,,,,67.0,6.0,,6.0,,1.0,,,,,,,,3.5,1.0,2.0,3.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,67.0
107,107,30083.0,14.5,40.0,16.0,4.0,1.5,4.75,2.0,6.5,1.714285714,42.0,6.0,,6.0,5.0,2.0,4.0,1.0,1.0,7.0,10.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,97.0,92.0,82.0,75.0,50.0,50.0,50.0,50.0,1.0,50.0,80.0,82.0,82.0,89.0,90.0,91.0,96.0,96.0,96.0,91.0,93.0,93.0,93.0,95.0,82.0,0.0,90.0,42.0
108,108,60613.0,8.5,37.0,23.0,4.75,2.75,4.5,2.25,5.333333333,1.428571429,30.0,5.0,5.666666667,8.0,5.0,2.0,7.0,3.0,2.0,5.0,9.0,5.0,1.0,3.0,7.0,6.0,6.0,4.0,4.0,5.0,10.0,10.0,50.0,65.0,75.0,70.0,40.0,2.0,40.0,45.0,40.0,40.0,30.0,25.0,20.0,20.0,20.0,10.0,70.0,70.0,65.0,60.0,60.0,50.0,10.0,85.0,30.0
109,109,32707.0,,,,,,,,,,70.0,3.0,,,,,,,,,,,,6.0,2.0,2.0,4.0,6.0,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,70.0
110,110,78745.0,7,37.0,19.0,,,,,5.0,2.142857143,35.0,2.0,,9.0,,1.0,,,,,,,1.0,1.0,3.0,4.0,3.0,3.0,2.0,,,,,,,,,2.0,,10.0,5.0,20.0,25.0,10.0,10.0,10.0,5.0,0.0,30.0,40.0,60.0,50.0,40.0,40.0,20.0,85.0,35.0
111,111,76522.0,15,35.0,17.0,5.0,1.0,3.75,1.75,5.5,1.428571429,62.0,2.0,5.666666667,18.0,5.0,3.0,7.0,4.0,4.0,6.0,12.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,100.0,100.0,82.0,50.0,51.0,83.0,85.0,54.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,52.0,0.0,0.0,0.0,68.0,62.0
112,112,85019.0,11,,,2.25,5.0,5.0,2.5,,,52.0,2.0,1.666666667,,3.0,,6.0,6.0,6.0,1.0,14.0,1.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0,53.0,2.0,53.0,,,,,,,,,,,,,,,,,,52.0
113,113,66712.0,,25.0,25.0,,,,,,,58.0,5.0,,,,,,,,,,,,7.0,1.0,4.0,6.0,7.0,7.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,58.0
114,114,11432.0,,,,,,,,,,33.0,5.0,,,,,,,,,,,,2.5,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,33.0
115,115,43015.0,15,47.0,9.0,5.0,3.5,5.0,4.5,5.666666667,1.0,63.0,5.0,8.666666667,8.0,4.0,1.0,7.0,4.0,2.0,7.0,8.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,2.0,100.0,78.0,60.0,60.0,80.0,90.0,100.0,100.0,100.0,100.0,50.0,92.0,92.0,92.0,92.0,0.0,0.0,77.0,63.0
116,116,23325.0,,,,,,,,,,29.0,4.0,,,,,,,,,,,,4.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,29.0
117,117,74120.0,10.5,38.0,27.0,,,,,,,46.0,5.0,,7.0,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,46.0
118,118,20002.0,,,,,,,,,,28.0,5.0,,20.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,28.0
119,119,60707.0,13,35.0,26.0,3.5,3.0,4.5,1.5,,,22.0,5.0,2.666666667,10.0,5.0,1.0,7.0,4.0,3.0,6.0,7.0,6.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,40.0,40.0,56.0,69.0,84.0,85.0,87.0,83.0,2.0,77.0,,,,,,,,,,,,,,,,,,22.0
120,120,11102.0,,,,,,,,,,30.0,6.0,,14.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
121,121,33558.0,11.5,35.0,19.0,4.0,2.0,3.5,2.0,5.333333333,2.571428571,47.0,6.0,2.333333333,6.0,5.0,1.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,4.0,5.0,5.0,6.0,7.0,6.0,53.0,54.0,56.0,57.0,59.0,61.0,64.0,67.0,2.0,69.0,80.0,71.0,75.0,79.0,85.0,88.0,92.0,96.0,100.0,86.0,65.0,66.0,67.0,68.0,71.0,74.0,60.0,47.0
122,122,30076.0,,,,,,,,,,53.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,53.0
123,123,70130.0,8.5,33.0,31.0,4.5,2.0,4.25,4.0,4.333333333,3.714285714,35.0,5.0,3.666666667,12.0,4.0,2.0,5.0,5.0,5.0,3.0,12.0,3.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,61.0,67.0,63.0,85.0,89.0,91.0,91.0,93.0,1.0,96.0,61.0,37.0,57.0,62.0,66.0,68.0,67.0,67.0,67.0,79.0,79.0,75.0,84.0,85.0,87.0,86.0,80.0,35.0
124,124,54981.0,,49.0,7.0,5.0,1.0,5.0,5.0,,,36.0,5.0,4.333333333,,5.0,,7.0,1.0,1.0,7.0,2.0,1.0,,3.0,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,100.0,,,,,,,,,,,,,,,,,,36.0
125,125,28312.0,,,,,,,,,,46.0,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,46.0
126,126,10308.0,13.5,40.0,30.0,4.75,1.0,5.0,3.75,6.166666667,5.142857143,67.0,3.0,5.666666667,8.0,5.0,1.0,4.0,4.0,4.0,7.0,12.0,5.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,29.0,38.0,44.0,64.0,73.0,82.0,88.0,93.0,1.0,100.0,81.0,82.0,88.0,88.0,90.0,91.0,90.0,95.0,100.0,81.0,68.0,84.0,89.0,91.0,93.0,93.0,86.0,67.0
127,127,55042.0,,,,,,,,,,45.0,5.0,,8.0,,2.0,,,,,,,,1.5,3.0,6.0,6.0,6.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,45.0
128,128,5468.0,7.5,32.0,32.0,4.0,2.5,3.5,3.5,,,38.0,4.0,2.0,15.0,5.0,2.0,2.0,2.0,1.0,7.0,7.0,6.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,26.0,42.0,51.0,55.0,61.0,63.0,65.0,69.0,2.0,71.0,,,,,,,,,,,,,,,,,,38.0
129,129,34243.0,,,,,,,,,,65.0,2.0,,12.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,65.0
130,130,27513.0,7.5,32.0,21.0,,,,,4.166666667,2.142857143,50.0,5.0,,11.0,,4.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,2.0,,48.0,40.0,50.0,56.0,54.0,50.0,50.0,50.0,38.0,51.0,40.0,51.0,52.0,53.0,46.0,42.0,85.0,50.0
131,131,72501.0,10,16.0,19.0,5.0,1.0,5.0,1.5,4.0,,61.0,2.0,1.666666667,6.0,1.0,1.0,1.0,4.0,4.0,1.0,10.0,1.0,1.0,7.0,,,,,,52.0,52.0,51.0,52.0,52.0,63.0,78.0,81.0,1.0,94.0,86.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,76.0,86.0,86.0,85.0,85.0,86.0,85.0,83.0,90.0,61.0
132,132,85023.0,14.5,,,4.25,1.0,5.0,1.0,6.666666667,1.0,68.0,5.0,5.0,6.0,5.0,1.0,7.0,5.0,2.0,7.0,8.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,11.0,11.0,28.0,81.0,100.0,100.0,9.0,2.0,9.0,60.0,55.0,64.0,57.0,54.0,27.0,17.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,74.0,68.0
133,133,62285.0,,26.0,26.0,,,,,,,35.0,4.0,,23.0,,2.0,,,,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,35.0
134,134,90744.0,9,34.0,33.0,3.5,3.0,2.25,1.5,6.166666667,1.571428571,39.0,2.0,1.0,,5.0,,7.0,1.0,1.0,7.0,11.0,6.0,1.0,3.5,,,,,,65.0,50.0,50.0,19.0,30.0,20.0,45.0,15.0,1.0,35.0,25.0,45.0,70.0,55.0,35.0,85.0,65.0,80.0,70.0,70.0,60.0,35.0,55.0,75.0,60.0,40.0,78.0,39.0
135,135,33131.0,,,,,,,,,,46.0,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,46.0
136,136,98672.0,9,36.0,25.0,,,,,4.5,1.857142857,32.0,6.0,,20.0,,1.0,,,,,,,1.0,1.0,6.0,6.0,6.0,4.0,4.0,,,,,,,,,1.0,,36.0,45.0,50.0,40.0,38.0,34.0,37.0,38.0,52.0,50.0,55.0,67.0,50.0,50.0,48.0,0.0,80.0,32.0
137,137,30094.0,,,,,,,,,,41.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,41.0
